,baseMean,log2FoldChange,lfcSE,pvalue,padj
TXNDC8,2.718561159,1.172091773,0.876476002,0.010851088,0.031350087
SLC46A2,16.43387378,1.109391281,0.237255112,0.005211127,0.017330695
ZNF883,21.84723775,2.631626681,0.555826662,7.88E-08,1.90E-06
AMBP,31641.45404,-1.125395224,0.256549537,2.34E-06,3.14E-05
ORM1,39708.26762,-1.40922233,0.338749892,4.13E-06,5.05E-05
ORM2,20822.6834,-1.592082961,0.321396449,1.03E-07,2.39E-06
TNFSF15,65.16832646,1.731474687,0.371863972,1.82E-07,3.77E-06
DELEC1,5.180139697,4.414340071,1.121440963,4.72E-07,8.31E-06
LOC105376233,3.422204377,2.742136244,1.305005253,0.000593814,0.00298119
LOC105376232,7.169894792,8.206585118,2.893938387,1.03E-06,1.60E-05
LOC105376235,14.51009548,7.185665963,1.679032674,1.30E-08,4.24E-07
LOC101928775,8.895559392,8.617880692,2.900829578,8.94E-08,2.11E-06
LOC105376234,1.866015606,5.742748519,2.642402199,0.000633793,0.003150382
LOC105376236,5.476590145,4.002024767,1.150380825,5.10E-06,6.02E-05
ASTN2-AS1,11.78357195,1.573336266,0.31342869,5.18E-08,1.34E-06
LOC107987014,29.42223806,1.156481487,0.329924909,5.20E-05,0.000407728
LOC107987015,20.93447795,1.469798766,0.341288594,1.29E-06,1.93E-05
LOC105376240,6.220306808,1.481492609,0.402624466,2.37E-05,0.000211969
BRINP1,10.15682702,-1.226989176,0.514814619,0.002475692,0.009456549
OR1J2,6.03387459,1.696154405,0.701337489,0.000769812,0.003683472
MIR181A2HG,19.35504997,1.093579701,0.275917869,1.03E-05,0.000107086
OLFML2A,80.1895053,1.546641465,0.306477543,3.35E-08,9.39E-07
LOC107984127,80.4652493,1.069273623,0.191159599,3.49E-09,1.36E-07
LOC105376278,16.07109243,1.187437486,0.284381619,3.84E-06,4.73E-05
PTGES2-AS1,2.931799078,1.577618956,0.648881768,0.001096432,0.00490142
LCN2,448.5698982,1.130939902,0.831771255,1.72E-07,3.61E-06
PHYHD1,153.5631613,-1.436106876,0.310270991,5.73E-07,9.73E-06
ASS1,10939.94137,-1.001561206,0.372066955,0.001409788,0.006012988
LOC101928193,1.335558943,2.203391275,1.673107553,0.006523412,0.020759093
ABO,9.92028376,1.027658908,0.648685935,0.009738134,0.028774053
ADAMTS13,159.6096318,-1.68394919,0.266813926,4.00E-11,2.80E-09
DBH,139.9751462,-1.20889252,0.310509616,1.79E-05,0.000168152
SARDH,908.3884998,-1.135670801,0.256161632,1.87E-06,2.62E-05
LOC107987137,21.64480413,-1.803734338,0.482110229,2.18E-05,0.000197638
LOC101928384,21.25180701,-3.023919991,0.507453331,3.06E-10,1.65E-08
LOC107987039,3.168188159,-1.642001118,0.882270937,0.005260011,0.017455918
COL5A1,959.8508207,1.490898087,0.448528497,5.42E-05,0.000422357
LOC101448202,11.29151575,1.52960348,0.43324782,0.005862308,0.019101028
FCN2,436.8625045,-2.812311437,0.528784064,1.39E-08,4.51E-07
LOC107987138,2.759313435,-1.480072436,1.249473494,0.014815174,0.040157973
LOC101928722,7.957612763,2.648165569,1.176892588,0.000449626,0.002371741
CCDC187,16.12796708,3.275021716,0.926594863,7.59E-06,8.36E-05
LINC01451,11.91577165,1.765888926,0.426948083,0.00162782,0.006747935
MAMDC4,166.1684517,-1.110881149,0.323809819,0.000117634,0.000795812
LOC105376326,7.857721867,2.513488283,0.540195205,2.06E-07,4.17E-06
ENTPD2,10.77029785,1.97140025,0.506455149,4.94E-06,5.85E-05
SAPCD2,20.36630883,2.282347853,0.471118704,5.36E-08,1.38E-06
LOC102724727,4.617525832,1.222344814,0.464530089,0.000992334,0.004524739
LOC102724813,18.40275407,3.196432348,0.66827686,4.53E-08,1.20E-06
LOC107984285,18.89332346,1.630985352,0.338882739,1.17E-07,2.62E-06
LOC105376358,8.045986808,2.371443642,1.26727893,0.001016483,0.004609722
LOC107984192,18.75073263,3.140460885,0.904759236,1.02E-05,0.000106336
LOC105376361,4.731896553,1.339147663,0.731561893,0.00412371,0.014343512
LOC107984198,25.94559803,1.478019505,0.549752385,0.000396107,0.002131027
AKR1C3,2668.641876,1.393118403,0.257032492,5.28E-09,1.95E-07
LINC02561,13.31174659,4.726749381,0.689747048,5.94E-13,6.57E-11
CALML3,1.688020491,-2.948831529,0.722877847,3.71E-06,4.59E-05
LOC107984205,2.240941082,-3.337871156,0.631951588,9.56E-09,3.25E-07
MCM10,74.80392282,3.488723546,0.478034064,7.94E-15,1.41E-12
LOC101928453,3.465083585,1.096558105,0.994164562,0.013287674,0.036825084
SUV39H2,145.8128167,1.139371136,0.200514756,1.95E-09,8.27E-08
DCLRE1C,298.0257259,1.124489845,0.19427629,9.48E-10,4.39E-08
ACBD7,10.491116,1.814161131,0.49972611,1.55E-05,0.000150078
